Type,Latitude,Longitude
Schools,-27.586643,152.976445
Schools,-18.630765,146.07419
Schools,-23.943506,147.525284
Schools,-23.105613,150.408309
Schools,-23.679529,150.707515
Schools,-24.529271,151.385828
Schools,-26.508762,151.024096
Schools,-27.432636,153.073887
Schools,-27.525283,153.072166
Schools,-26.836473,150.779343
Schools,-27.401769,152.961035
Schools,-24.523523,151.745044
Schools,-21.149999,148.712655
Schools,-27.51885,152.943216
Schools,-28.203395,151.566516
Schools,-28.166117,151.879861
Schools,-27.624532,152.737026
Schools,-27.389995,153.038629
Schools,-28.220802,152.014596
Schools,-26.168967,151.600104
Schools,-24.502722,151.930739
Schools,-28.799209,151.841082
Schools,-26.413271,152.911405
Schools,-26.873832,152.586717
Schools,-28.138085,153.477786
Schools,-26.64279,149.756211
Schools,-21.106319,149.101991
Schools,-15.935106,145.341081
Schools,-27.583108,151.978669
Schools,-21.139643,148.639357
Schools,-28.29312,152.118054
Schools,-26.669308,143.268804
Schools,-27.398329,152.985705
Schools,-27.058034,151.431827
Schools,-27.603348,152.621373
Schools,-23.950321,151.356179
Schools,-25.073119,151.99731
Schools,-19.976283,148.227055
Schools,-23.37349,150.496958
Schools,-27.205623,152.961399
Schools,-20.73302,139.508186
Schools,-26.392206,152.793601
Schools,-19.602629,147.360216
Schools,-19.156974,146.851238
Schools,-26.199149,152.646912
Schools,-27.458252,153.181531
Schools,-25.612469,151.890568
Schools,-17.149395,145.113185
Schools,-27.558893,151.935371
Schools,-27.823055,152.615856
Schools,-21.311461,149.004987
Schools,-27.54852,153.263961
Schools,-27.677811,151.703624
Schools,-26.905408,152.94965
Schools,-10.895126,142.385956
Schools,-27.919993,149.719263
Schools,-27.293955,152.989917
Schools,-27.567091,153.038988
Schools,-24.968097,152.014203
Schools,-28.10658,152.916137
Schools,-26.107732,151.846166
Schools,-27.374931,153.046521
Schools,-19.513019,147.10958
Schools,-27.980948,152.543745
Schools,-24.230584,148.410963
Schools,-27.471266,151.815921
Schools,-18.474804,145.884302
Schools,-28.634231,148.867709
Schools,-17.215203,145.546139
Schools,-20.656508,141.746852
Schools,-16.388473,145.376356
Schools,-27.575252,151.933098
Schools,-28.612664,151.954867
Schools,-28.012084,153.420772
Schools,-26.11891,149.961913
Schools,-19.248218,146.6846
Schools,-27.442552,152.944406
Schools,-16.905327,145.86457
Schools,-26.598983,152.725601
Schools,-26.179473,152.06506
Schools,-17.610445,145.489006
Schools,-18.954241,146.286982
Schools,-22.841434,150.646071
Schools,-17.904162,146.092824
Schools,-19.043807,146.391789
Schools,-27.223962,151.889309
Schools,-28.215526,152.859705
Schools,-16.908963,145.694614
Schools,-28.574084,150.753808
Schools,-24.907491,152.476004
Schools,-27.659662,153.111344
Schools,-26.729244,152.718469
Schools,-21.133759,148.492069
Schools,-27.279996,150.458863
Schools,-27.392272,152.500264
Schools,-27.341005,150.199227
Schools,-18.868103,146.188886
Schools,-26.048338,152.396403
Schools,-19.654492,147.417789
Schools,-28.035592,153.434684
Schools,-17.40245,145.910117
Schools,-28.06769,152.242559
Schools,-26.760579,152.855392
Schools,-19.878975,147.6855
Schools,-25.00903,151.998937
Schools,-17.348975,145.59456
Schools,-25.516221,151.456057
Schools,-17.197295,145.89608
Schools,-26.224413,151.846221
Schools,-12.626479,141.879926
Schools,-20.870152,148.731843
Schools,-23.786784,150.921995
Schools,-24.963146,151.134413
Schools,-25.585416,151.293931
Schools,-26.693478,151.651915
Schools,-27.970304,153.198425
Schools,-17.360956,145.692345
Schools,-19.262204,146.775385
Schools,-26.891787,151.79522
Schools,-21.155267,148.740875
Schools,-27.607371,153.096524
Schools,-27.417388,153.037296
Schools,-25.655013,151.25529
Schools,-17.346479,145.912166
Schools,-25.588105,152.669089
Schools,-27.461816,153.101279
Schools,-27.186014,151.700068
Schools,-27.324212,149.882491
Schools,-17.634571,146.028274
Schools,-27.468188,153.083219
Schools,-26.387303,152.680882
Schools,-20.920957,148.96306
Schools,-13.945588,143.199768
Schools,-24.350812,151.29973
Schools,-27.428715,153.015009
Schools,-27.411033,152.567601
Schools,-27.651525,153.38195
Schools,-23.249841,150.280487
Schools,-27.467193,152.985301
Schools,-19.518756,147.41759
Schools,-27.478371,152.868851
Schools,-28.42751,149.654456
